TIME; TAG; POSITION; SPEED; POLARIZATION; POLARIZATION SPEED; PWENABLE; CHEKSUM; CRC; 
1222.744873; 1746; -0.269165; 0.000000; 0.000000; 0.000000; 1; 0x6a1; 0x4337; 
1222.748779; 1746; -0.269165; 0.000000; 0.000000; 0.000000; 1; 0x6a1; 0x3037; 
1222.752808; 1746; -0.269165; 0.000000; 0.000000; 0.000000; 1; 0x6a1; 0xbb6; 
1222.756836; 1; -0.269165; 0.011984; 0.000000; 0.000000; 1; 0x4d; 0x71b7; 
1222.760864; 2; -0.269165; 0.043814; 0.000000; 0.000000; 1; 0x19a; 0x84b7; 
1222.764893; 3; -0.269165; 0.081781; 0.000000; 0.000000; 1; 0x327; 0xe0ba; 
1222.768921; 4; -0.269165; 0.120130; 0.000000; 0.000000; 1; 0x4b8; 0x1dbc; 
1222.772827; 5; -0.263672; 0.151960; 0.005493; 0.000000; 1; 0x607; 0xf4bc; 
1222.776855; 5; -0.252686; 0.169409; 0.010986; 0.000000; 1; 0x6c0; 0x5abd; 
1222.780884; 7; -0.236206; 0.198076; 0.016479; 0.000000; 1; 0x7f1; 0x9dbd; 
1222.784912; 8; -0.214233; 0.239014; 0.032959; 0.000000; 1; 0x9a4; 0xd7bd; 
1222.788940; 9; -0.186768; 0.288293; 0.054932; 0.000000; 1; 0xbb0; 0xefbd; 
1222.792847; 10; -0.142822; 0.341312; 0.076904; 0.000000; 1; 0xde6; 0x7be; 
1222.796875; 11; -0.087891; 0.404205; 0.109863; 0.000000; 1; 0x1087; 0x2ebe; 
1222.800903; 11; -0.016479; 0.446198; 0.148315; 0.000000; 1; 0x1251; 0x61be; 
1222.804932; 13; 0.065918; 0.490779; 0.192261; 0.000000; 1; 0x143b; 0x8bbe; 
1222.808960; 14; 0.164795; 0.544181; 0.247192; 0.000000; 1; 0x1685; 0xa8be; 
1222.812988; 15; 0.280151; 0.600651; 0.302124; 0.000000; 1; 0x18f2; 0xc2be; 
1222.816895; 16; 0.406494; 0.660860; 0.362549; 0.000000; 1; 0x1b89; 0xdbbe; 
1222.820923; 17; 0.554810; 0.727300; 0.422974; 0.000000; 1; 0x1e65; 0xfbbe; 
1222.824951; 17; 0.719604; 0.772457; 0.483398; 0.000000; 1; 0x2065; 0x11bf; 
1222.828979; 19; 0.889893; 0.799973; 0.549316; 0.000000; 1; 0x21b1; 0x27bf; 
1222.833008; 20; 1.076660; 0.842253; 0.615234; 0.000000; 1; 0x2399; 0x36bf; 
1222.837036; 21; 1.279907; 0.904955; 0.681152; 0.000000; 1; 0x2659; 0x44bf; 
1222.841064; 22; 1.488647; 0.943976; 0.747070; 0.000000; 1; 0x2823; 0x50bf; 
1222.844971; 23; 1.713867; 0.984818; 0.818481; 0.000000; 1; 0x2a04; 0x5dbf; 
1222.848999; 23; 1.944580; 1.016552; 0.884399; 0.000000; 1; 0x2b85; 0x6abf; 
1222.853027; 25; 2.191772; 1.047807; 0.955811; 0.000000; 1; 0x2d07; 0x79bf; 
1222.857056; 26; 2.438965; 1.070338; 1.021729; 0.000000; 1; 0x2e2c; 0x82bf; 
1222.861084; 27; 2.691650; 1.102168; 1.087646; 0.000000; 1; 0x2fb3; 0x88bf; 
1222.865112; 28; 2.960815; 1.146653; 1.142578; 0.000000; 1; 0x31bf; 0x8ebf; 
1222.869141; 29; 3.229980; 1.179538; 1.203003; 0.000000; 1; 0x3353; 0x96bf; 
