TIME; TAG; POSITION; SPEED; POLARIZATION; POLARIZATION SPEED; PWENABLE; CHEKSUM; CRC; 
1820.831909; 0; -0.043945; 0.000000; -0.005493; 0.000000; 1; 0xfff7; 0x7438; 
1820.835938; 0; -0.043945; 0.000000; -0.005493; 0.000000; 1; 0xfff7; 0x7938; 
1820.839966; 0; -0.043945; 0.000096; -0.005493; 0.000000; 1; 0xfff8; 0x9238; 
1820.843872; 1; -0.043945; 0.002013; -0.005493; 0.000000; 1; 0xd; 0xa738; 
1820.847900; 2; -0.043945; 0.008245; -0.005493; 0.000000; 1; 0x4f; 0x9238; 
1820.851929; 3; -0.043945; 0.017353; -0.005493; 0.000000; 1; 0xaf; 0x76b9; 
1820.855957; 4; -0.043945; 0.026557; -0.005493; 0.000000; 1; 0x110; 0xddba; 
1820.859985; 4; -0.043945; 0.032022; -0.005493; 0.000000; 1; 0x149; 0xa7bb; 
1820.864014; 6; -0.043945; 0.035473; -0.005493; 0.000000; 1; 0x16f; 0x25bc; 
1820.867920; 7; -0.043945; 0.041513; -0.005493; 0.000000; 1; 0x1af; 0x71bc; 
1820.871948; 8; -0.043945; 0.048800; -0.005493; 0.000000; 1; 0x1fc; 0x8cbc; 
1820.875977; 9; -0.043945; 0.055128; -0.005493; 0.000000; 1; 0x23f; 0x91bc; 
1820.880005; 10; -0.038452; 0.067208; 0.000000; 0.000000; 1; 0x2c0; 0x96bc; 
1820.884033; 10; -0.038452; 0.064907; 0.000000; 0.000000; 1; 0x2a8; 0xa4bc; 
1820.887939; 12; -0.038452; 0.061647; 0.000000; 0.000000; 1; 0x288; 0xc0bc; 
1820.891968; 13; -0.038452; 0.064907; 0.000000; 0.000000; 1; 0x2ab; 0xd9bc; 
1820.895996; 14; -0.038452; 0.079288; 0.000000; 0.000000; 1; 0x342; 0xd3bc; 
1820.900024; 15; -0.027466; 0.111597; 0.005493; 0.000000; 1; 0x497; 0xf3bc; 
1820.904053; 16; -0.005493; 0.147934; 0.010986; 0.000000; 1; 0x618; 0x30bd; 
1820.908081; 16; 0.010986; 0.154165; 0.021973; 0.000000; 1; 0x65e; 0x8ebd; 
1820.911987; 18; 0.032959; 0.142565; 0.032959; 0.000000; 1; 0x5ed; 0xb9bd; 
1820.916016; 19; 0.049438; 0.126170; 0.043945; 0.000000; 1; 0x548; 0xc1bd; 
1820.920044; 20; 0.065918; 0.130580; 0.054932; 0.000000; 1; 0x57c; 0xa8bd; 
1820.924072; 21; 0.098877; 0.178805; 0.071411; 0.000000; 1; 0x77d; 0xa0bd; 
1820.928101; 22; 0.131836; 0.199130; 0.082397; 0.000000; 1; 0x85a; 0xc5bd; 
1820.932129; 22; 0.164795; 0.201527; 0.093384; 0.000000; 1; 0x87b; 0xf6bd; 
1820.936157; 24; 0.208740; 0.221277; 0.109863; 0.000000; 1; 0x956; 0xfbe; 
1820.940063; 25; 0.258179; 0.244671; 0.131836; 0.000000; 1; 0xa58; 0x33be; 
1820.944092; 26; 0.307617; 0.251765; 0.148315; 0.000000; 1; 0xaaf; 0x4cbe; 
