TIME; TAG; POSITION; SPEED; POLARIZATION; POLARIZATION SPEED; PWENABLE; CHEKSUM; CRC; 
734.836670; 5236; 0.049438; 0.000000; 0.000000; 0.000000; 1; 0x147d; 0xfeb8; 
734.840637; 5236; 0.049438; 0.000000; 0.000000; 0.000000; 1; 0x147d; 0xa2b8; 
734.844666; 5236; 0.049438; 0.000000; 0.000000; 0.000000; 1; 0x147d; 0xadb7; 
734.848694; 1; 0.049438; 0.002397; 0.000000; 0.000000; 1; 0x23; 0x33b8; 
734.852661; 2; 0.049438; 0.010067; 0.000000; 0.000000; 1; 0x74; 0xa7b8; 
734.856689; 3; 0.049438; 0.021092; 0.000000; 0.000000; 1; 0xe8; 0xd1b9; 
734.860718; 4; 0.049438; 0.032022; 0.000000; 0.000000; 1; 0x15b; 0xfbb; 
734.864685; 5; 0.049438; 0.040842; 0.000000; 0.000000; 1; 0x1b8; 0xd2bb; 
734.868713; 5; 0.049438; 0.044965; 0.000000; 0.000000; 1; 0x1e3; 0x4bbc; 
734.872681; 7; 0.049438; 0.047841; 0.000000; 0.000000; 1; 0x203; 0x96bc; 
734.876709; 8; 0.049438; 0.054936; 0.000000; 0.000000; 1; 0x24e; 0xb3bc; 
734.880737; 9; 0.049438; 0.064044; 0.000000; 0.000000; 1; 0x2ae; 0xb6bc; 
734.884705; 10; 0.049438; 0.071714; 0.000000; 0.000000; 1; 0x2ff; 0xafbc; 
734.888733; 11; 0.049438; 0.084465; 0.000000; 0.000000; 1; 0x385; 0xb6bc; 
734.892761; 11; 0.054932; 0.089259; 0.005493; 0.000000; 1; 0x3b9; 0xebbc; 
734.896729; 13; 0.054932; 0.089355; 0.005493; 0.000000; 1; 0x3bc; 0x0bd; 
734.900757; 14; 0.060425; 0.099709; 0.010986; 0.000000; 1; 0x42b; 0x9bd; 
734.904785; 15; 0.071411; 0.116391; 0.016479; 0.000000; 1; 0x4dd; 0x1abd; 
734.908752; 16; 0.082397; 0.139976; 0.021973; 0.000000; 1; 0x5d7; 0x3fbd; 
734.912781; 17; 0.104370; 0.163273; 0.032959; 0.000000; 1; 0x6d1; 0x67bd; 
734.916809; 17; 0.137329; 0.202390; 0.049438; 0.000000; 1; 0x872; 0xa1bd; 
734.920837; 19; 0.175781; 0.226838; 0.065918; 0.000000; 1; 0x97d; 0xefbd; 
734.924805; 20; 0.214233; 0.227509; 0.087891; 0.000000; 1; 0x990; 0x19be; 
734.928833; 21; 0.258179; 0.233166; 0.109863; 0.000000; 1; 0x9d8; 0x24be; 
734.932861; 22; 0.307617; 0.256751; 0.137329; 0.000000; 1; 0xadd; 0x2abe; 
734.936829; 23; 0.362549; 0.275830; 0.164795; 0.000000; 1; 0xbb4; 0x37be; 
734.940857; 23; 0.422974; 0.292320; 0.197754; 0.000000; 1; 0xc71; 0x3ebe; 
734.944885; 25; 0.488892; 0.300661; 0.225220; 0.000000; 1; 0xcdb; 0x4dbe; 
734.948853; 26; 0.560303; 0.331245; 0.263672; 0.000000; 1; 0xe2f; 0x69be; 
734.952881; 27; 0.642700; 0.360199; 0.296631; 0.000000; 1; 0xf73; 0x86be; 
734.956909; 28; 0.725098; 0.373909; 0.324097; 0.000000; 1; 0x1017; 0x99be; 
734.960876; 29; 0.812988; 0.385414; 0.357056; 0.000000; 1; 0x10a6; 0xa9be; 
734.964905; 29; 0.906372; 0.404780; 0.390015; 0.000000; 1; 0x1187; 0xb7be; 
734.968933; 31; 1.005249; 0.417052; 0.422974; 0.000000; 1; 0x1221; 0xc4be; 
