TIME; TAG; POSITION; SPEED; POLARIZATION; POLARIZATION SPEED; PWENABLE; CHEKSUM; CRC; 
1045.651001; 1746; 0.214233; 0.000096; -0.005493; 0.000000; 1; 0x6f9; 0x1439; 
1045.655029; 1746; 0.214233; 0.000096; -0.005493; 0.000000; 1; 0x6f9; 0xfd38; 
1045.659058; 1746; 0.214233; 0.000096; -0.005493; 0.000000; 1; 0x6f9; 0xd438; 
1045.662964; 1; 0.214233; -0.012464; -0.005493; 0.000000; 1; 0xffa5; 0xb738; 
1045.666992; 2; 0.214233; -0.045636; -0.005493; 0.000000; 1; 0xfe4c; 0xa938; 
1045.671021; 3; 0.214233; -0.085520; -0.005493; 0.000000; 1; 0xfcad; 0xfd3a; 
1045.675049; 4; 0.208740; -0.125691; -0.005493; 0.000000; 1; 0xfb0a; 0x263c; 
1045.679077; 5; 0.208740; -0.151385; -0.010986; 0.000000; 1; 0xf9fe; 0xff3c; 
1045.682983; 5; 0.203247; -0.158576; -0.010986; 0.000000; 1; 0xf9b2; 0x553d; 
1045.687012; 7; 0.197754; -0.177271; -0.016479; 0.000000; 1; 0xf8ef; 0x973d; 
1045.691040; 8; 0.181274; -0.226071; -0.021973; 0.000000; 1; 0xf6ef; 0xc23d; 
1045.695068; 9; 0.159302; -0.277747; -0.032959; 0.000000; 1; 0xf4cf; 0xe23d; 
1045.699097; 10; 0.115356; -0.353871; -0.043945; 0.000000; 1; 0xf1ac; 0x53e; 
1045.703125; 11; 0.065918; -0.413217; -0.060425; 0.000000; 1; 0xef36; 0x453e; 
1045.707031; 11; -0.005493; -0.467673; -0.082397; 0.000000; 1; 0xeced; 0x883e; 
1045.711060; 13; -0.093384; -0.509666; -0.109863; 0.000000; 1; 0xeb24; 0xac3e; 
1045.715088; 14; -0.192261; -0.557891; -0.142822; 0.000000; 1; 0xe916; 0xcc3e; 
1045.719116; 15; -0.302124; -0.611772; -0.181274; 0.000000; 1; 0xe6ca; 0xe33e; 
1045.723145; 16; -0.428467; -0.665749; -0.225220; 0.000000; 1; 0xe479; 0xf53e; 
1045.727173; 17; -0.571289; -0.716371; -0.269165; 0.000000; 1; 0xe248; 0x53f; 
1045.731201; 17; -0.725098; -0.763924; -0.318604; 0.000000; 1; 0xe033; 0x133f; 
1045.735107; 19; -0.900879; -0.813875; -0.362549; 0.000000; 1; 0xde04; 0x283f; 
1045.739136; 20; -1.087646; -0.876672; -0.417480; 0.000000; 1; 0xdb4a; 0x3d3f; 
1045.743164; 21; -1.290894; -0.935922; -0.477905; 0.000000; 1; 0xd8b1; 0x4e3f; 
1045.747192; 22; -1.499634; -0.957110; -0.527344; 0.000000; 1; 0xd7a6; 0x5a3f; 
1045.751221; 23; -1.713867; -0.979833; -0.582275; 0.000000; 1; 0xd689; 0x643f; 
1045.755249; 23; -1.939087; -1.000254; -0.631714; 0.000000; 1; 0xd582; 0x703f; 
1045.759155; 25; -2.175293; -1.034097; -0.692139; 0.000000; 1; 0xd3ed; 0x7c3f; 
1045.763184; 26; -2.416992; -1.065160; -0.747070; 0.000000; 1; 0xd274; 0x813f; 
1045.767212; 27; -2.664185; -1.103318; -0.802002; 0.000000; 1; 0xd0b0; 0x853f; 
1045.771240; 28; -2.922363; -1.148858; -0.851440; 0.000000; 1; 0xce9e; 0x8a3f; 
1045.775269; 29; -3.186035; -1.186825; -0.900879; 0.000000; 1; 0xccda; 0x923f; 
1045.779297; 29; -3.460693; -1.201685; -0.950317; 0.000000; 1; 0xcc04; 0x9a3f; 
1045.783325; 31; -3.740845; -1.217217; -0.999756; 0.000000; 1; 0xcb28; 0xa13f; 
1045.787231; 32; -4.026489; -1.243870; -1.049194; 0.000000; 1; 0xc9d6; 0xa43f; 
1045.791260; 33; -4.317627; -1.283753; -1.093140; 0.000000; 1; 0xc7fa; 0xa73f; 
1045.795288; 34; -4.625244; -1.331786; -1.137085; 0.000000; 1; 0xc5c6; 0xac3f; 
1045.799316; 35; -4.932861; -1.355275; -1.175537; 0.000000; 1; 0xc493; 0xb43f; 
1045.803345; 35; -5.234985; -1.338881; -1.208496; 0.000000; 1; 0xc501; 0xbb3f; 
1045.807373; 37; -5.542603; -1.319610; -1.235962; 0.000000; 1; 0xc58f; 0xc03f; 
